title,address,price,bedrooms,bathrooms,area,area_lot
,"1887 W 95th St, Los Angeles, CA 90047","$710,000",6 bed,3 bath,"2,059 sqft","5,100 sqft lot"
,"6038 Carlton Way Apt 402, Los Angeles, CA 90028","$895,000",3 bed,2.5 bath,"1,390 sqft",0.46 acre lot
,"12104 Crystal Glen Way, Porter Ranch, CA 91326","$750,000",3 bed,3 bath,"1,845 sqft","4,877 sqft lot"
,"9302 Hooper Ave, Los Angeles, CA 90002","$379,900",2 bed,2 bath,672 sqft,"2,546 sqft lot"
,"5051 Rosewood Ave Apt 203, Los Angeles, CA 90004","$590,000",2 bed,2 bath,910 sqft,0.31 acre lot
,"11284 Woodcock Ave, Pacoima, CA 91331","$619,900",4 bed,2 bath,"2,017 sqft","6,299 sqft lot"
,"9830 Vidor Dr Apt 302, Los Angeles, CA 90035","$895,000",2 bed,2.5 bath,"1,507 sqft","5,972 sqft lot"
,"4418 W 30th St, Los Angeles, CA 90016","$799,000",2 bed,1 bath,863 sqft,"2,574 sqft lot"
,"238 S Avenue 54, Los Angeles, CA 90042","$739,000",3 bed,3 bath,"1,640 sqft","5,227 sqft lot"
,"23459 Gilmore St, West Hills, CA 91307","$689,900",3 bed,1.5 bath,"1,160 sqft","7,855 sqft lot"
,"7507 Irondale Ave, Winnetka, CA 91306","$629,000",4 bed,2 bath,"1,284 sqft","8,059 sqft lot"
,"4206 W 58th Pl, Los Angeles, CA 90043","$1,099,000",3 bed,4 bath,"2,562 sqft","5,380 sqft lot"
,"6855 Vanscoy Ave, North Hollywood, CA 91605","$779,000",3 bed,3 bath,"1,301 sqft","6,556 sqft lot"
,"1496 W 3rd St, San Pedro, CA 90732","$879,000",4 bed,2 bath,"2,076 sqft","4,971 sqft lot"
,"435 S La Fayette Park Pl, Los Angeles, CA 90057","$585,000",2 bed,2 bath,"1,355 sqft",1.08 acre lot
,"23348 Calvert St, Woodland Hills, CA 91367","$774,777",3 bed,2 bath,"1,666 sqft",0.29 acre lot
